eye_angle,eye_lashes,eye_lid,chin_length,eyebrow_weight,eyebrow_shape,eyebrow_thickness,face_shape,facial_hair,hair,eye_color,face_color,hair_color,glasses,glasses_color,eye_slant,eyebrow_width,eye_eyebrow_distance,filename
 2,0,0,2,1,10,0,5,14,33,3,6,1,11,1,2,0,2,cs10847736389679543123.csv
 1,1,0,0,1,3,3,5,14,50,2,2,5,11,0,2,1,2,cs11460673368981850751.csv
 2,1,0,2,1,1,2,1,0,45,1,0,1,11,2,2,1,1,cs11299448924724471574.csv
 0,0,0,1,1,0,0,1,14,77,4,1,6,10,4,1,1,2,cs10862066559812114853.csv
 1,1,1,0,1,5,1,1,14,49,1,10,4,11,6,0,1,1,cs10420639762954660636.csv
 0,1,0,0,1,11,2,4,0,90,2,10,3,10,5,0,0,1,cs11486035871749593712.csv
 1,1,0,1,0,8,3,3,2,21,0,8,2,2,0,2,2,2,cs10422135046237955307.csv
 1,0,0,0,1,1,1,4,5,60,4,9,7,4,4,0,1,0,cs11325184553512060719.csv
 1,1,0,0,1,3,2,4,9,98,2,8,9,3,0,2,0,0,cs11261205433181896227.csv
 2,1,1,2,1,10,3,6,9,46,2,5,0,1,0,1,1,2,cs10873609348840537956.csv
 2,0,1,2,0,4,3,6,12,10,2,10,7,11,1,1,1,2,cs1028800242041584335.csv
 1,1,1,1,1,0,3,3,6,104,3,2,2,8,2,2,0,2,cs1056228604079686248.csv
 0,1,1,2,1,8,3,6,14,14,1,2,5,9,6,2,0,1,cs1073839231978110115.csv
 1,0,0,1,1,10,0,6,5,53,0,2,5,11,4,1,2,2,cs10406738142249780034.csv
 2,1,1,1,1,11,3,2,0,4,0,9,3,11,2,1,0,2,cs11181049979553052491.csv
 0,0,1,1,0,11,0,2,14,7,1,10,5,4,4,2,1,2,cs10646055579510963021.csv
 0,0,0,0,1,6,0,6,10,50,1,0,9,11,3,0,1,0,cs10047489809781346776.csv
 1,0,1,2,0,8,1,5,13,33,3,8,6,9,3,0,1,0,cs10131174379287747581.csv
 2,0,0,2,0,13,0,5,14,34,2,8,9,4,5,2,2,1,cs10695756387981627019.csv
 0,1,0,1,0,7,3,4,2,102,3,7,3,11,2,2,0,0,cs10125668430471996347.csv
 2,1,0,0,0,9,2,4,7,22,1,6,5,5,5,1,2,1,cs11441698286993062023.csv
 2,0,1,1,1,8,3,2,13,44,4,8,8,11,3,1,0,1,cs10771866300137789939.csv
 0,1,0,2,1,7,3,2,8,85,4,1,7,1,2,1,1,2,cs10504296640843154894.csv
 2,0,1,1,0,13,1,3,14,76,2,9,5,6,5,0,2,0,cs10816087629972293656.csv
 1,0,0,0,1,13,3,5,14,78,3,2,7,11,5,0,1,0,cs10549784346317018039.csv
 2,0,1,2,1,9,2,1,14,91,4,5,0,11,1,2,0,0,cs11479212807517456013.csv
 0,0,0,1,1,11,1,3,7,44,0,3,2,0,1,2,1,0,cs10500706813091062922.csv
 2,0,1,2,0,9,0,4,14,67,1,9,5,11,5,0,1,0,cs10104212655563215271.csv
 0,0,0,0,0,4,3,0,12,42,1,7,9,6,3,2,0,2,cs10143137383498209576.csv
 0,1,1,2,0,13,0,2,14,7,2,6,2,10,0,0,0,0,cs10070642177488236703.csv
 1,0,1,2,0,2,0,1,13,30,2,4,3,11,4,2,1,0,cs10188314650251354860.csv
 2,1,0,1,1,6,2,5,14,55,3,2,4,11,5,0,1,2,cs10260260226810328106.csv
 1,1,1,0,1,11,2,3,2,102,3,2,9,5,6,1,2,0,cs1093818943311563324.csv
 0,1,0,0,1,7,3,5,0,42,2,7,7,6,4,2,0,0,cs10166090239328942746.csv
 1,0,0,0,1,0,1,6,7,89,2,8,6,11,4,1,1,0,cs11365630194310527040.csv
 1,0,0,0,1,9,2,5,1,47,1,7,3,11,6,2,0,2,cs10580105703201432277.csv
 2,0,0,2,1,11,3,5,14,18,3,5,3,11,6,1,2,1,cs10421807512813239182.csv
 2,1,1,2,0,3,2,5,14,16,3,10,9,6,3,1,2,0,cs10016991474244105179.csv
 2,0,0,0,1,4,0,3,6,58,4,10,2,0,6,1,0,0,cs11405198272719244139.csv
 1,1,0,1,0,1,1,4,13,62,0,2,5,0,2,1,0,0,cs10460144125051542122.csv
 0,0,0,0,0,3,2,0,14,25,0,9,6,5,2,0,0,0,cs10470110901021192821.csv
 2,0,0,0,0,9,3,1,14,23,2,9,1,11,4,0,1,1,cs10903575820649603685.csv
 1,1,1,1,1,13,0,4,14,3,3,4,1,5,0,1,1,2,cs10000811708184140319.csv
 0,1,1,0,0,3,0,0,14,40,4,6,9,11,3,1,0,2,cs11189003965941384915.csv
 0,1,0,0,1,13,1,6,7,5,1,6,2,2,3,0,1,0,cs11002270234793987327.csv
 1,1,0,1,0,12,0,3,14,82,0,10,2,11,4,1,0,0,cs11484965662281874328.csv
 0,1,0,1,0,2,0,5,9,91,3,2,7,11,6,0,1,1,cs1004491533180972118.csv
 1,1,0,2,0,8,0,2,12,22,0,5,9,6,3,0,1,1,cs10730682885741303308.csv
 2,0,1,1,1,8,2,5,14,16,4,0,3,11,3,1,0,2,cs10920179899346830240.csv
 1,1,1,1,0,6,0,0,14,36,0,8,3,1,2,0,1,0,cs10103073956764216899.csv
 1,0,1,0,0,2,3,1,2,0,2,4,7,7,2,1,2,1,cs11112174897975563845.csv
 0,1,0,0,1,11,0,3,3,35,0,0,7,11,1,2,2,2,cs11489116904791641544.csv
 2,0,0,0,0,6,0,0,14,110,1,6,7,11,2,1,2,0,cs10369106970588780254.csv
 2,0,1,2,0,12,3,1,14,91,4,7,1,11,0,0,1,2,cs10424529986852004368.csv
 1,0,0,0,0,12,1,4,14,19,3,2,1,4,2,2,2,0,cs10601022940738287637.csv
 2,1,1,1,0,11,2,4,14,27,3,4,6,11,1,1,1,1,cs11494233981598861698.csv
 1,0,1,2,0,11,2,4,14,31,4,0,6,11,1,0,0,0,cs10892334768665502812.csv
 1,0,1,2,0,11,2,4,14,1,0,9,0,9,3,1,0,2,cs10204112738755584518.csv
 0,1,1,1,1,9,1,3,14,52,0,1,7,1,1,0,2,1,cs10621785391748364082.csv
 0,0,1,0,1,13,2,3,14,12,1,10,8,9,5,2,2,2,cs10175933462850646860.csv
 2,1,0,0,1,8,2,1,4,12,0,3,2,11,6,0,0,2,cs11350236766032556076.csv
 0,1,1,0,0,11,0,1,14,14,4,3,3,3,4,2,0,0,cs11343217209609795196.csv
 2,1,1,2,1,2,2,0,14,39,2,3,1,3,6,0,2,0,cs10039468402708888851.csv
 0,1,1,0,1,4,1,0,14,47,1,3,7,11,2,1,2,1,cs10385050300231261405.csv
 2,0,1,2,0,13,1,5,14,8,4,5,6,11,6,1,2,0,cs1121937692635012534.csv
 0,1,1,0,1,11,2,3,14,8,3,0,7,0,2,0,1,0,cs1018836099221097371.csv
 0,1,1,1,0,3,3,1,6,22,3,5,7,11,2,1,0,0,cs1140030923204285673.csv
 0,1,0,1,0,9,2,4,3,64,2,9,2,11,5,0,1,1,cs11408957903290429030.csv
 2,1,1,1,0,12,1,2,6,1,1,2,7,7,6,2,0,1,cs11206164190116542160.csv
 0,1,0,2,1,5,3,3,1,76,2,0,2,11,2,0,0,0,cs10000849938093558363.csv
 0,1,1,0,0,0,0,0,14,5,3,6,1,11,5,1,1,0,cs10649615822661395401.csv
 2,0,0,0,0,3,2,5,7,6,3,6,4,9,2,2,1,1,cs107311176389079257.csv
 1,1,0,1,0,7,1,3,11,100,1,8,8,6,3,1,1,2,cs11265689704613875250.csv
 1,0,0,1,1,12,1,4,7,13,0,5,1,1,4,1,1,2,cs10886631840715272356.csv
 0,1,1,1,1,12,1,1,1,9,4,0,6,4,3,0,0,1,cs10041622459478344342.csv
 0,1,0,0,0,4,2,6,2,106,1,1,1,11,6,1,1,0,cs11082619208223739170.csv
 1,1,0,1,0,3,1,4,2,22,3,9,5,8,5,2,2,1,cs10831998766876644187.csv
 2,1,1,1,0,2,0,5,14,35,1,2,8,11,4,0,1,2,cs10482027638548795361.csv
 0,0,0,0,0,3,1,1,4,70,3,0,6,11,5,0,0,0,cs11073788642147605983.csv
 0,1,0,2,1,6,3,4,14,27,1,3,1,1,5,0,1,0,cs10644434576756698640.csv
 0,1,1,0,1,1,1,5,12,70,3,8,5,11,4,2,1,1,cs10105787270995974556.csv
 0,1,0,1,0,13,2,6,14,62,3,1,8,6,1,1,2,2,cs11066011754958339372.csv
 2,0,0,2,1,11,3,5,4,21,0,5,5,1,4,1,1,0,cs11364630416972715442.csv
 0,1,0,1,0,4,2,6,6,1,4,8,2,11,0,0,0,2,cs10906505077784216976.csv
 2,0,0,0,1,13,2,6,14,29,1,9,5,11,2,0,2,2,cs11374421300817485775.csv
 2,1,1,0,0,9,1,1,14,63,2,3,4,11,6,0,2,1,cs10503662069087736539.csv
 1,0,0,0,1,9,2,6,4,44,1,1,7,2,3,1,2,1,cs11047072973201011209.csv
 0,1,0,0,0,7,1,3,14,69,4,9,1,10,0,1,0,1,cs10628551602581835000.csv
 0,1,1,2,1,8,0,3,6,45,0,9,7,11,0,0,0,1,cs10658511391471987116.csv
 2,1,0,0,0,2,0,5,3,50,2,5,5,11,4,0,0,0,cs10614910799376800899.csv
 1,1,0,0,1,12,3,3,0,19,0,7,2,11,6,0,1,0,cs11087815749951410774.csv
 0,1,0,2,0,3,2,4,11,56,4,0,5,8,0,1,2,0,cs10813994429648634407.csv
 0,1,0,0,1,5,0,0,14,18,2,5,2,5,2,0,0,2,cs1071421731674079830.csv
 2,1,1,1,1,6,2,5,14,15,0,8,5,10,4,0,0,1,cs10526584596373494067.csv
 0,1,1,2,0,1,1,0,14,16,4,1,4,10,2,1,1,0,cs11436799705425152215.csv
 0,1,1,1,0,3,1,3,10,58,2,4,5,1,3,0,1,1,cs10557753745030128836.csv
 2,0,0,1,0,7,1,0,14,46,2,10,7,10,4,0,0,0,cs11416647219307298996.csv
 0,1,1,1,0,6,3,2,0,42,4,3,7,10,2,1,1,0,cs11282923052402958112.csv
 1,0,0,2,1,4,3,0,7,87,0,2,9,11,2,1,0,2,cs11204812646722570651.csv
 0,1,1,2,0,8,2,6,13,0,1,3,3,11,3,1,2,2,cs11444483053761219016.csv
 0,0,1,2,0,9,3,1,6,101,2,10,0,2,4,1,0,1,cs11457538405241540407.csv
 2,0,1,1,1,0,3,5,14,71,3,0,3,11,2,0,0,2,cs10394632471338803304.csv
 1,0,0,1,0,9,0,6,0,13,1,2,2,3,4,1,1,0,cs10082991262646136176.csv
 1,0,0,0,1,12,1,5,2,43,4,0,0,7,2,1,1,2,cs11476409782453899657.csv
 2,1,1,2,0,5,3,1,3,14,2,1,6,11,3,1,1,1,cs11094726585527856811.csv
 2,1,0,1,0,11,2,6,14,35,3,9,1,11,2,2,0,0,cs10640581976038269296.csv
 0,1,1,2,0,7,1,6,14,86,2,2,3,7,0,1,2,0,cs11181344431733103084.csv
 2,0,1,0,0,2,0,2,14,19,3,0,2,7,5,2,0,2,cs10635528384787395232.csv
 1,1,1,1,0,7,3,0,13,103,2,4,4,1,2,0,2,1,cs10228289742463988533.csv
 2,1,1,2,1,11,2,5,14,80,1,7,4,11,4,0,2,1,cs10143072648851449553.csv
 2,1,0,0,1,8,1,3,14,22,1,9,9,11,0,2,0,0,cs10188066247527690860.csv
 1,0,1,1,1,1,3,0,14,17,4,4,9,3,6,0,2,1,cs11324260403113139967.csv
 1,0,0,2,1,7,0,5,5,2,3,0,3,3,3,1,0,1,cs11022116546469028145.csv
 2,0,0,2,1,5,3,3,14,7,2,5,6,4,6,1,0,2,cs11183550991347970189.csv
 2,0,1,2,1,2,0,5,4,81,0,8,5,0,0,1,2,1,cs11089396976558457963.csv
 0,0,0,0,1,4,3,5,7,90,3,1,4,11,0,1,0,2,cs1063014172876429666.csv
 1,1,0,0,0,9,3,4,12,35,0,7,3,5,3,1,0,0,cs10707213454780304591.csv
 2,0,1,0,1,0,0,1,4,53,2,4,6,11,6,1,0,2,cs10490959393931140842.csv
 1,0,0,2,1,4,3,2,11,1,1,8,1,6,1,2,0,2,cs11398577855012576053.csv
 2,1,0,1,1,6,2,1,14,108,4,8,2,11,1,2,0,2,cs10611208682868484005.csv
 0,1,1,1,1,7,1,3,14,102,1,4,8,0,5,2,0,1,cs10359753910064777263.csv
 0,1,1,2,1,12,2,5,14,6,1,9,3,1,1,0,0,1,cs11080419261594560370.csv
 1,1,1,2,0,0,1,4,8,20,2,2,5,3,1,2,0,1,cs1106303799661709727.csv
 1,0,1,1,1,3,2,3,11,99,2,9,4,11,4,1,1,0,cs11212715354651687231.csv
 0,0,0,2,0,1,0,6,14,58,1,6,1,11,0,2,2,2,cs11119063232546080277.csv
 0,0,1,1,1,12,3,1,14,50,2,6,7,5,0,2,2,1,cs11116012976460957635.csv
 0,1,0,0,0,9,3,6,14,6,2,5,2,11,2,1,0,0,cs11140549185003132717.csv
 1,1,1,2,1,5,0,6,7,105,0,7,6,5,4,2,0,2,cs11193029175846081015.csv
 1,1,1,2,0,6,3,3,12,64,3,5,8,7,1,2,0,1,cs11268803940242269161.csv
 0,1,0,2,0,6,3,4,5,25,3,6,1,0,0,2,2,0,cs10904840657794463049.csv
 1,0,1,2,0,4,3,4,14,34,3,10,2,11,2,2,2,2,cs10728331367869465424.csv
 2,0,1,2,1,12,0,4,1,110,3,9,2,7,3,2,1,1,cs10049918139196674770.csv
 2,0,1,0,0,7,0,5,4,27,0,4,6,11,2,1,1,0,cs1056248951248208465.csv
 2,0,1,1,1,11,3,5,5,17,2,1,3,1,3,0,2,2,cs10282484323981266002.csv
 0,0,1,2,1,5,0,4,14,41,4,8,2,5,5,1,0,0,cs10460124437304644029.csv
 2,1,0,1,0,1,2,5,10,102,3,7,4,7,4,1,1,2,cs11464399017495068439.csv
 2,0,1,2,1,10,2,1,5,102,1,8,2,11,1,2,2,0,cs10681192044006663242.csv
 0,0,1,0,1,8,3,5,3,57,0,3,0,7,0,2,1,2,cs10791337398908063584.csv
 0,1,1,2,0,9,3,5,4,41,1,1,8,10,6,1,0,0,cs10350066865581986124.csv
 1,0,0,1,0,10,1,2,14,14,1,2,3,11,0,1,0,2,cs11097080959729893962.csv
 2,0,0,0,0,6,1,0,11,104,0,0,5,11,2,1,0,2,cs11335106869016509457.csv
 2,0,0,0,0,1,0,5,14,4,4,3,6,11,4,0,0,0,cs10324215778621711640.csv
 0,1,1,1,1,1,1,1,14,22,0,8,7,5,4,2,0,0,cs1076411488422303085.csv
 1,1,0,1,0,12,2,1,14,90,3,1,2,11,6,1,0,0,cs10188993307953824858.csv
 2,0,0,2,0,2,3,2,14,0,2,7,2,10,0,1,2,0,cs10842149773441163519.csv
 2,0,1,2,0,9,0,6,3,109,0,2,5,7,3,2,2,2,cs10821235462800581898.csv
 1,0,0,2,0,7,2,5,14,36,4,0,2,11,6,2,1,2,cs10484891494016544692.csv
 2,1,0,0,0,7,3,6,14,72,4,3,0,2,4,0,0,1,cs10582133836977018520.csv
 2,1,1,1,1,6,1,5,14,94,4,3,4,8,4,0,1,0,cs10174507120847381273.csv
 0,0,0,1,1,10,1,5,14,13,3,8,8,11,1,0,2,2,cs10012832321095278697.csv
 1,0,1,0,1,10,0,4,10,62,3,3,5,11,4,0,0,2,cs11435495883644913753.csv
 0,0,0,2,1,13,1,1,14,91,4,10,6,11,1,1,1,0,cs1148989641954840258.csv
 0,0,0,2,0,8,1,5,10,27,3,8,3,11,1,2,1,0,cs10940853629614196536.csv
 2,1,1,2,0,5,2,6,12,18,4,4,0,0,0,1,0,2,cs11432134543470229238.csv
 2,1,0,2,1,7,1,3,14,58,3,7,1,4,1,2,1,2,cs10810934537885571802.csv
 0,0,1,2,1,12,3,4,14,31,0,6,8,11,3,0,2,2,cs10852240679550098037.csv
 2,1,1,0,0,7,2,2,14,69,3,8,0,6,5,1,2,0,cs10720030717021915545.csv
 2,1,0,2,1,2,2,0,11,15,3,1,0,11,1,0,1,0,cs11055489507280193088.csv
 1,0,0,2,0,8,0,3,14,11,3,1,3,4,4,2,2,1,cs10052093564703779290.csv
 2,0,0,1,0,3,3,6,12,20,3,9,0,11,1,0,2,1,cs11499087112014290850.csv
 2,1,1,2,0,0,2,2,14,33,3,6,9,1,5,0,0,2,cs10505702260176044606.csv
 0,0,1,0,1,8,3,0,14,66,1,3,9,11,1,1,0,1,cs1094319953660703029.csv
 0,1,1,0,1,4,2,5,8,71,1,2,1,4,0,1,2,2,cs10378062683630654626.csv
 0,1,0,1,0,5,2,3,14,30,3,0,7,10,5,2,1,0,cs1094170145207068504.csv
 2,1,1,2,0,13,2,0,10,104,4,3,5,11,5,0,2,2,cs10161394308870766539.csv
 0,0,0,2,1,9,1,2,7,42,1,4,8,11,1,1,0,0,cs1072989443628745660.csv
 2,0,0,1,1,13,0,6,6,0,4,10,8,11,6,1,1,1,cs10806941518905691115.csv
 2,1,1,0,1,7,3,4,2,54,3,8,1,11,1,2,0,2,cs10776946102376486566.csv
 2,1,0,0,1,13,2,5,14,81,4,6,1,3,0,1,1,1,cs1129497386757932406.csv
 1,1,0,0,0,6,1,6,0,79,3,6,7,11,3,1,0,0,cs11259717332267663210.csv
 2,0,1,1,1,6,3,4,4,49,3,10,0,10,1,2,2,2,cs10330251716480532512.csv
 1,1,1,0,1,6,2,1,14,66,4,1,0,11,6,0,2,0,cs10182572949675413815.csv
 2,0,1,1,0,7,1,5,14,14,1,0,1,5,6,0,2,1,cs10696779199841638409.csv
 1,0,1,1,1,13,0,5,0,40,1,5,3,11,4,1,0,1,cs10230274592249016743.csv
 0,1,0,1,1,4,3,2,14,20,1,8,9,6,3,0,1,2,cs10879698343625196219.csv
 0,1,0,2,0,5,3,1,14,68,0,5,5,7,4,0,2,1,cs11097033795125231960.csv
 0,0,1,0,0,1,0,1,14,19,2,5,7,6,4,1,1,2,cs10448603333730835305.csv
 1,0,1,1,0,6,0,1,10,52,3,6,8,11,1,0,2,1,cs10294784509040671658.csv
 0,1,1,2,0,9,1,6,3,74,0,5,6,9,6,1,0,2,cs10741268342611111978.csv
 2,0,0,0,0,5,0,2,14,102,2,8,1,9,2,1,0,2,cs10970084085104556096.csv
 2,1,0,2,1,6,0,0,14,54,0,0,8,1,2,1,1,2,cs11453481200655591633.csv
 0,1,0,2,0,0,2,6,3,5,4,2,1,1,2,0,2,1,cs10648075037632363003.csv
 2,1,1,1,1,9,1,3,14,85,0,9,9,8,3,1,0,0,cs11406807718610681818.csv
 0,0,0,2,0,5,3,6,12,100,2,2,8,9,6,0,0,0,cs1067541458123269626.csv
 2,0,0,2,0,9,0,3,8,97,3,8,2,11,1,0,2,1,cs11130522928710913906.csv
 2,0,1,2,1,8,3,4,0,19,2,5,5,11,5,2,1,2,cs11480011865848403376.csv
 1,1,0,2,0,0,1,0,7,102,4,9,9,10,6,0,1,2,cs1043807677133623405.csv
 2,0,0,0,1,7,3,6,14,61,3,5,1,0,4,2,0,2,cs11321410764211620346.csv
 1,0,0,2,0,9,3,4,1,78,0,4,3,8,3,1,0,0,cs10733302899057556753.csv
 2,0,1,0,0,7,3,6,14,97,1,0,4,11,3,2,1,0,cs11307642523101508270.csv
 0,1,1,2,0,13,1,2,12,48,0,3,2,11,3,2,2,2,cs10236916974000386823.csv
 1,0,0,0,1,10,3,6,14,23,0,10,7,11,3,1,2,1,cs10986738193301028590.csv
 1,0,0,2,0,4,3,6,14,81,4,5,1,11,5,1,2,2,cs11020304267462979420.csv
 2,0,1,0,0,4,2,2,12,104,3,0,0,11,3,2,0,0,cs1093798515498389480.csv
 1,0,1,1,0,1,1,3,12,6,0,4,6,11,5,0,1,2,cs11067507654902030999.csv
 1,1,1,1,0,12,0,3,10,27,2,4,0,11,0,1,2,0,cs11104416779420596641.csv
 0,1,1,0,0,2,0,0,14,52,3,6,9,6,0,1,1,1,cs10128837641806911724.csv
 0,1,1,2,1,0,1,0,14,84,4,5,5,11,3,1,2,0,cs10943334603952421725.csv
 0,1,0,0,0,13,3,5,14,3,0,9,3,6,0,1,0,2,cs11302099522362674695.csv
 2,0,0,0,1,6,1,0,14,49,2,1,7,0,6,2,1,1,cs11238533842105941067.csv
 2,1,1,1,1,4,2,1,14,71,4,3,0,11,4,1,2,1,cs10487605256156540826.csv
 2,1,1,0,0,13,0,2,4,103,4,6,8,9,6,1,2,1,cs10797546443447722756.csv
 2,1,1,2,1,10,2,1,14,94,1,6,9,11,0,1,1,1,cs10281549803085544617.csv
 2,1,1,0,0,9,0,3,7,85,4,1,3,10,6,2,1,1,cs10693075146020318954.csv
 0,1,1,1,1,5,0,3,14,34,2,5,2,4,6,2,2,2,cs11285708324750118482.csv
 1,0,1,0,0,13,1,0,11,19,1,8,5,6,6,0,1,0,cs11448150942326451495.csv
 2,0,0,0,0,11,3,2,14,59,0,1,6,10,0,2,0,1,cs11216356187007676925.csv
 0,1,1,1,1,11,2,6,14,25,2,4,1,11,4,0,0,2,cs11401506013769745085.csv
 2,1,0,1,0,5,3,4,8,4,2,10,2,3,2,2,0,0,cs10346136132509468315.csv
 1,0,1,1,0,6,1,3,8,4,1,10,9,6,4,0,1,0,cs10827070777194049688.csv
