house	personality	herbology	quidditch rank
1	3	1.0	413.81747
0	2	0.0	596.8636
3	1	1.0	476.14984
2	1	0.0	291.85565
0	2	0.0	618.27106
3	1	1.0	560.348
3	2	1.0	458.8038
2	2	0.0	274.14816
2	1	1.0	341.52576
2	1	0.0	295.94476
1	3	1.0	454.9652
2	0	0.0	273.6835
3	1	1.0	579.7536
2	2	1.0	218.57602
1	2	1.0	469.14835
3	0	1.0	482.94913
3	1	1.0	461.69525
1	3	1.0	462.35587
3	3	1.0	569.3264
2	1	1.0	272.8672
3	0	1.0	516.6656
0	0	1.0	573.67706
0	1	0.0	540.1461
1	3	0.0	452.62015
0	3	0.0	596.9959
1	3	1.0	461.86133
2	0	1.0	294.05646
3	2	1.0	520.1437
1	3	1.0	439.48505
2	1	1.0	260.20932
1	1	1.0	471.4236
2	1	0.0	333.601
2	0	0.0	349.5796
0	2	0.0	554.31433
1	2	1.0	491.14124
3	0	1.0	460.3954
0	1	0.0	591.3403
0	2	0.0	584.42194
1	3	1.0	457.97336
1	2	1.0	454.53943
3	1	1.0	504.84528
0	0	1.0	584.4898
1	3	1.0	426.6468
3	1	1.0	532.94135
2	1	1.0	338.8507
3	2	1.0	548.6562
1	1	1.0	460.58847
0	1	0.0	584.189
2	2	0.0	239.58939
1	3	1.0	472.4196
2	0	1.0	283.3763
3	0	1.0	453.9151
3	2	0.0	510.14218
2	0	1.0	331.7454
2	1	1.0	288.59723
0	1	0.0	556.77374
2	1	0.0	344.59198
3	0	1.0	446.07138
2	0	1.0	328.15594
2	2	1.0	310.77994
1	2	1.0	432.69797
0	1	0.0	603.01636
3	0	0.0	543.98785
1	2	1.0	492.56317
0	0	0.0	582.9803
0	1	1.0	596.7834
3	0	0.0	473.4861
1	2	0.0	427.55872
1	3	1.0	483.3609
0	2	0.0	585.9454
1	3	1.0	419.98834
1	1	1.0	459.58508
3	2	0.0	546.2829
3	0	1.0	454.202
0	1	1.0	566.3843
0	0	0.0	571.3029
0	0	1.0	543.66907
1	1	1.0	466.04422
0	1	0.0	583.88666
1	2	1.0	462.14792
3	2	1.0	542.50336
1	2	1.0	459.88647
0	1	0.0	602.26385
3	0	1.0	505.00613
0	2	0.0	583.5379
3	1	1.0	458.57626
1	2	0.0	424.16162
2	0	1.0	241.81903
3	0	1.0	454.27954
3	3	1.0	504.15503
1	3	0.0	468.59357
1	0	1.0	496.9671
2	1	1.0	294.67487
2	2	1.0	272.78018
0	0	1.0	577.77203
2	0	0.0	324.7522
2	1	1.0	304.80328
1	3	1.0	486.0589
0	2	1.0	573.8777
0	0	1.0	577.0179
3	2	1.0	493.71988
1	2	1.0	445.34296
2	1	1.0	294.61084
2	0	1.0	277.9139
1	3	1.0	469.12073
0	2	0.0	607.9607
1	2	1.0	445.26047
1	3	1.0	500.9629
3	2	1.0	472.48135
3	1	1.0	531.9393
3	2	1.0	564.8173
0	0	0.0	569.2759
0	1	1.0	581.9334
1	3	1.0	465.52536
0	1	0.0	600.1873
1	2	1.0	469.19684
2	0	0.0	271.35153
2	1	0.0	305.16797
3	1	1.0	505.7978
3	2	1.0	505.0282
3	0	1.0	458.05014
3	2	1.0	435.8778
3	3	1.0	528.53143
2	0	0.0	366.91147
3	2	1.0	526.3645
0	0	0.0	612.376
2	0	1.0	356.76456
1	2	1.0	484.74918
2	0	1.0	321.21912
0	1	0.0	568.53186
3	1	1.0	456.78653
3	1	0.0	554.51685
0	2	1.0	584.81396
2	1	0.0	303.75934
0	3	1.0	606.47784
2	1	1.0	316.074
1	3	1.0	463.88605
0	0	1.0	591.4406
0	0	0.0	571.26074
1	2	0.0	504.54337
3	0	1.0	499.27075
2	2	1.0	274.61774
2	2	0.0	270.63766
2	2	0.0	236.62071
3	0	1.0	512.8881
1	3	0.0	424.05716
2	1	0.0	262.5242
3	0	1.0	453.3143
0	0	0.0	579.75867
1	3	0.0	502.4931
1	3	1.0	468.48642
3	0	1.0	477.466
2	0	1.0	353.8139
3	0	1.0	545.81055
2	0	1.0	284.9856
0	1	0.0	581.9059
1	2	1.0	473.45493
0	2	0.0	562.28656
0	1	0.0	556.2882
2	1	1.0	298.48898
1	2	1.0	486.84442
1	3	1.0	471.79602
0	0	0.0	580.84875
1	3	1.0	517.21674
0	0	0.0	574.93494
3	1	0.0	516.1375
3	2	1.0	488.1288
2	1	1.0	279.38867
1	2	1.0	446.17142
2	3	1.0	313.32434
1	3	1.0	417.4967
1	2	1.0	429.02374
1	2	1.0	467.56873
3	1	0.0	529.47736
2	1	0.0	239.81792
1	2	1.0	415.4457
1	3	1.0	479.2989
2	1	1.0	324.43774
3	1	1.0	494.68405
0	0	0.0	638.0549
1	2	1.0	460.46292
2	0	1.0	230.89351
2	2	1.0	274.6768
0	3	0.0	584.17096
3	3	1.0	481.2064
3	2	1.0	577.2566
1	3	1.0	430.311
1	3	1.0	468.75647
3	1	1.0	599.4622
0	1	0.0	591.93085
1	2	1.0	500.37665
2	0	1.0	295.00632
1	3	1.0	474.1547
2	1	1.0	309.11227
2	0	0.0	332.36514
2	1	1.0	336.83737
3	0	0.0	385.09732
1	2	1.0	445.83768
3	1	0.0	551.35803
2	2	0.0	289.6413
2	1	1.0	272.0012
1	3	1.0	456.17838
3	0	1.0	551.14484
3	2	1.0	577.608
0	1	0.0	599.05273
1	2	1.0	460.11246
1	3	1.0	479.25772
2	1	1.0	287.49915
0	0	1.0	590.83057
1	3	1.0	472.83215
2	2	0.0	297.8137
3	3	0.0	544.4194
0	0	0.0	573.6034
2	0	0.0	292.84363
0	0	1.0	556.59314
1	1	1.0	495.0517
2	1	1.0	336.09055
3	1	1.0	538.4264
1	2	1.0	506.74677
0	1	1.0	551.45184
0	2	0.0	605.08435
0	1	1.0	580.5243
1	2	1.0	458.4223
0	2	0.0	577.1865
3	2	1.0	529.80194
0	1	1.0	585.8975
3	2	0.0	445.4447
2	1	1.0	281.82886
2	1	0.0	264.11813
3	0	1.0	558.89746
0	1	1.0	576.7977
1	3	0.0	446.91507
1	3	1.0	446.99936
1	2	1.0	474.7474
2	2	0.0	314.73343
1	2	1.0	463.77753
1	3	1.0	466.8523
0	0	1.0	520.70685
3	0	1.0	510.33923
1	3	1.0	490.94037
0	2	1.0	587.0672
1	3	1.0	493.5134
3	1	1.0	444.04016
3	1	1.0	544.963
1	3	1.0	456.4076
1	3	1.0	448.21506
3	2	1.0	474.4878
3	3	0.0	555.6637
0	0	0.0	580.24054
3	0	1.0	486.66882
3	1	1.0	536.1464
2	0	0.0	286.5084
1	2	1.0	440.76007
1	3	1.0	445.51303
3	2	0.0	500.52927
0	2	0.0	577.81995
0	2	1.0	540.49786
3	1	1.0	432.78656
2	1	1.0	346.9666
0	2	1.0	574.5596
0	2	1.0	560.5588
2	0	0.0	305.37396
1	3	1.0	461.43185
2	2	1.0	346.05215
3	0	1.0	555.4303
0	0	0.0	635.81134
1	3	1.0	482.17795
3	2	1.0	488.84045
3	1	1.0	526.85443
2	0	1.0	324.7987
1	3	1.0	494.5632
2	1	1.0	298.79742
2	0	1.0	294.14737
2	1	1.0	216.61832
1	1	1.0	472.86688
0	2	1.0	572.3999
2	0	0.0	277.46082
2	1	0.0	327.65216
0	1	1.0	554.5361
0	2	1.0	583.5447
1	1	1.0	487.58163
2	1	1.0	278.72427
0	2	1.0	568.6921
2	0	1.0	297.01694
1	3	1.0	417.9645
3	2	1.0	432.87268
3	2	1.0	525.2215
2	0	0.0	266.58575
1	3	1.0	481.7655
2	0	1.0	279.5235
0	0	1.0	573.13165
3	0	1.0	497.6086
0	0	0.0	591.5201
2	0	1.0	247.75569
1	3	1.0	456.7755
0	1	0.0	604.92053
1	3	1.0	457.1834
0	0	0.0	600.24585
1	3	1.0	446.0968
3	2	1.0	437.74493
0	1	1.0	590.8385
1	0	1.0	461.26956
1	3	1.0	476.82755
1	1	0.0	446.1248
1	3	1.0	446.61856
2	0	0.0	298.18155
3	0	1.0	465.73846
3	0	0.0	572.1038
2	1	1.0	312.39355
0	2	1.0	567.90967
2	0	1.0	267.48743
2	0	0.0	280.13953
1	2	1.0	428.55524
3	1	0.0	541.1373
3	2	1.0	458.34558
1	3	1.0	474.37747
2	0	1.0	291.6403
2	1	1.0	295.55664
0	1	0.0	557.4058
3	2	0.0	416.22867
0	0	1.0	544.3482
2	0	1.0	293.32422
2	0	1.0	293.23206
3	0	0.0	556.67993
3	0	1.0	501.7816
1	3	0.0	511.45947
1	2	1.0	455.27872
0	1	1.0	562.89185
2	0	0.0	269.54095
2	0	1.0	343.8918
2	1	0.0	293.2675
1	3	1.0	462.6868
2	2	1.0	296.41675
1	3	1.0	488.14618
0	0	1.0	578.3448
2	2	1.0	246.90797
0	0	1.0	593.92175
0	1	1.0	593.50604
3	1	0.0	485.68265
0	1	0.0	582.61505
3	2	1.0	568.6136
3	0	0.0	459.31848
0	1	0.0	576.4014
0	2	0.0	490.81412
3	1	1.0	471.65454
3	1	1.0	457.16782
2	2	1.0	295.22925
3	3	1.0	491.9623
2	2	0.0	281.80817
1	2	1.0	453.5202
2	0	0.0	318.0846
2	2	1.0	341.1552
3	0	1.0	513.56415
0	1	0.0	571.198
2	0	0.0	316.30966
3	1	1.0	461.05334
0	2	0.0	553.354
0	1	0.0	578.8228
0	0	0.0	567.7348
2	2	1.0	340.877
0	2	1.0	526.802
2	1	1.0	218.04724
1	3	1.0	467.06534
2	1	1.0	265.48328
1	3	1.0	472.06866
2	0	0.0	289.74756
2	1	1.0	323.45828
2	0	1.0	321.4967
2	0	1.0	338.07217
0	1	1.0	610.2414
2	0	0.0	324.76187
3	2	1.0	527.4227
3	1	0.0	499.59244
2	2	1.0	312.74228
1	2	1.0	440.18134
3	2	1.0	495.39185
3	2	1.0	420.79373
3	1	1.0	470.78787
0	0	1.0	636.27484
0	0	1.0	601.44366
2	0	1.0	275.48703
1	3	1.0	499.89615
1	3	1.0	460.29037
1	3	1.0	472.19318
3	2	1.0	442.1975
2	1	1.0	306.7207
1	3	1.0	486.94412
2	0	0.0	302.47406
2	2	1.0	288.24835
3	2	1.0	506.33093
3	2	1.0	511.5011
3	0	1.0	399.44116
0	0	1.0	549.9857
1	0	1.0	463.75186
2	1	1.0	327.784
1	2	1.0	458.43668
2	0	0.0	298.63156
2	1	1.0	286.7674
3	1	1.0	480.40033
2	0	1.0	323.34705
1	3	1.0	450.86908
1	3	1.0	483.3384
0	0	1.0	551.11835
3	2	1.0	524.84814
2	0	0.0	343.76123
0	0	1.0	609.19
1	3	1.0	497.70438
3	2	1.0	616.8438
0	1	0.0	585.53656
0	0	1.0	567.95465
1	3	1.0	430.07864
1	3	1.0	479.62994
2	0	0.0	234.69797
1	2	1.0	449.64313
1	2	1.0	451.86847
1	3	1.0	477.1631
0	1	0.0	563.9065
1	3	1.0	472.88773
2	0	1.0	275.15396
3	0	1.0	451.3299
2	1	1.0	303.4475
3	2	1.0	498.17587
2	0	0.0	280.4171
0	2	1.0	585.3745
2	1	1.0	345.95712
3	0	0.0	448.96823
3	1	1.0	562.10486
3	0	1.0	459.53036
3	0	1.0	509.82547
1	3	1.0	438.5752
2	1	0.0	298.6438
0	1	0.0	606.1333
0	0	0.0	582.5638
1	3	1.0	471.79807
0	0	0.0	575.1615
3	2	1.0	464.05637
2	1	1.0	316.16205
2	1	0.0	281.9909
1	3	1.0	441.87238
2	2	1.0	351.91824
0	2	0.0	554.3268
3	0	1.0	572.35315
0	0	0.0	572.50433
0	2	0.0	617.1991
1	2	1.0	460.69733
0	0	0.0	566.75085
1	3	0.0	442.93094
1	2	1.0	450.33688
2	3	0.0	309.43338
3	2	1.0	451.3767
3	1	0.0	489.15158
3	2	1.0	474.60062
2	2	1.0	264.11398
0	2	1.0	571.3767
2	0	0.0	320.03494
2	1	1.0	321.12463
1	2	1.0	467.6977
1	3	0.0	413.17886
2	2	0.0	248.06271
0	0	0.0	604.4006
2	2	0.0	258.83627
1	2	1.0	430.21872
2	1	1.0	237.2007
2	0	0.0	267.0758
3	0	1.0	431.04523
0	3	0.0	573.3561
2	1	0.0	288.56854
1	3	1.0	472.46487
1	3	1.0	450.05554
1	3	1.0	443.07605
1	1	1.0	468.80487
3	1	1.0	464.14908
2	3	1.0	278.46857
2	0	0.0	296.5178
2	0	1.0	301.35162
1	2	0.0	458.11707
3	2	0.0	502.05878
0	3	0.0	594.97186
1	3	1.0	463.483
1	3	1.0	438.13388
3	1	1.0	547.6865
0	0	1.0	574.2607
0	0	1.0	574.87616
1	3	1.0	459.41812
1	3	1.0	446.39136
1	1	1.0	430.83554
1	3	1.0	444.51443
0	0	0.0	598.51166
1	3	1.0	483.1452
2	0	1.0	333.13995
1	0	1.0	409.64145
0	0	1.0	565.3481
2	1	1.0	288.09277
2	0	0.0	261.41586
0	0	0.0	595.36993
2	1	0.0	277.96124
0	1	1.0	609.7073
3	0	1.0	532.6732
3	1	1.0	476.3488
2	2	0.0	260.9491
2	1	1.0	310.71466
0	2	0.0	592.5228
2	1	0.0	299.7242
0	1	1.0	601.22955
1	2	1.0	490.0422
0	0	0.0	551.7428
2	1	1.0	272.38116
0	2	1.0	557.1693
1	3	1.0	473.99225
3	1	1.0	444.07425
3	0	1.0	478.7831
0	0	0.0	538.80725
0	0	0.0	543.70264
3	0	1.0	489.76245
3	2	1.0	558.3499
1	2	1.0	478.1214
1	3	1.0	459.56146
2	2	1.0	289.06815
3	1	0.0	540.62006
3	2	1.0	465.9347
3	2	1.0	547.3879
3	1	1.0	462.22375
3	0	0.0	478.69333
0	3	0.0	606.54095
1	2	1.0	444.67938
0	0	0.0	615.931
2	1	0.0	296.1474
1	3	1.0	484.72598
1	3	0.0	474.7612
0	1	0.0	550.1129
2	3	1.0	368.61923
2	1	1.0	226.988
1	3	0.0	477.8457
2	0	1.0	243.45944
0	0	0.0	575.051
1	3	1.0	494.3287
1	3	1.0	428.05704
3	1	0.0	545.1695
3	1	1.0	406.88068
2	2	1.0	308.66507
0	0	1.0	591.1641
0	0	1.0	555.19336
1	3	1.0	462.7331
2	1	1.0	312.13217
3	1	1.0	489.3499
3	1	1.0	597.4431
2	0	1.0	346.8451
3	2	1.0	496.71472
2	1	1.0	322.26407
2	2	0.0	262.8631
1	3	0.0	474.7352
0	2	1.0	656.45306
0	1	0.0	528.1184
0	1	1.0	586.3756
1	2	1.0	481.52737
1	2	1.0	499.10553
3	1	1.0	519.7493
2	2	1.0	309.51456
1	2	1.0	471.33688
3	1	1.0	480.5706
3	1	1.0	549.0663
1	3	1.0	473.99423
1	3	0.0	463.44107
2	0	1.0	253.28333
0	1	0.0	588.8247
0	3	1.0	570.4908
0	1	0.0	569.26495
2	2	0.0	299.67947
0	2	0.0	578.46204
3	0	1.0	468.7212
3	1	1.0	496.8589
3	1	0.0	439.61975
2	1	1.0	306.98126
1	3	1.0	486.7171
0	1	0.0	597.565
3	1	0.0	466.45905
1	3	1.0	450.2711
1	3	1.0	488.85486
3	1	1.0	399.92917
3	2	1.0	515.00055
2	1	1.0	264.9161
0	1	0.0	567.2989
0	0	1.0	605.724
2	1	1.0	264.35553
0	0	1.0	552.21954
3	1	0.0	483.10782
1	1	1.0	476.5088
1	3	1.0	426.69754
2	2	1.0	355.90683
0	2	0.0	597.9447
3	3	1.0	551.8136
3	2	1.0	440.30237
1	0	1.0	483.2967
1	3	1.0	465.4291
3	1	1.0	553.304
0	0	0.0	598.05817
3	2	1.0	448.87177
2	1	1.0	343.44138
0	2	1.0	616.1841
2	1	1.0	273.99442
0	1	1.0	578.1033
3	2	0.0	474.24164
0	0	0.0	561.9457
2	0	0.0	306.1016
0	1	0.0	536.3944
1	2	1.0	448.31744
1	3	1.0	454.43796
2	1	0.0	287.56113
0	0	0.0	623.1322
3	2	0.0	485.9007
2	1	0.0	282.36127
3	1	1.0	546.5243
1	3	1.0	449.31836
2	0	1.0	311.92926
3	2	1.0	517.0206
0	1	0.0	585.22314
2	0	0.0	345.7241
1	2	1.0	453.82227
2	1	1.0	249.23576
1	2	0.0	490.3673
1	3	1.0	446.61847
2	1	1.0	247.96832
2	1	0.0	285.226
3	2	1.0	538.1235
3	2	1.0	487.99768
2	0	1.0	328.43344
1	3	1.0	436.19373
0	1	1.0	586.6761
3	2	0.0	488.0837
1	2	1.0	443.8108
3	0	1.0	483.33078
2	1	1.0	278.27142
2	0	1.0	301.95776
3	1	0.0	410.63416
3	1	1.0	596.67285
1	1	1.0	477.60117
0	1	0.0	574.69305
1	3	1.0	431.88525
2	0	1.0	352.1297
1	2	1.0	472.0378
3	0	1.0	531.6556
1	3	1.0	484.56946
2	1	0.0	281.92703
1	3	1.0	432.24356
2	1	1.0	303.98035
3	0	1.0	464.5765
1	3	1.0	434.70615
2	0	1.0	283.09656
2	0	0.0	339.3077
3	0	1.0	555.25323
1	1	1.0	462.7058
3	2	1.0	533.68774
3	0	1.0	441.2027
3	0	0.0	468.57712
3	2	0.0	439.37268
0	1	0.0	548.0507
0	1	1.0	585.3955
3	2	1.0	460.9019
2	0	0.0	329.45926
0	0	0.0	569.5706
1	3	1.0	503.22217
3	2	0.0	500.1263
0	0	0.0	604.28467
3	2	1.0	495.83878
0	2	0.0	553.7212
0	1	1.0	608.5359
3	0	1.0	569.55566
3	1	1.0	430.42514
1	2	0.0	498.23288
0	0	0.0	601.32416
3	3	1.0	516.035
1	3	1.0	486.48853
0	2	0.0	592.79407
0	0	0.0	559.509
3	2	1.0	468.17947
0	1	0.0	587.78143
0	1	0.0	595.82227
0	0	0.0	592.8883
2	1	0.0	303.0261
2	1	0.0	325.69016
0	1	1.0	564.01874
3	2	0.0	480.4091
1	3	1.0	490.67273
3	1	1.0	545.4027
1	2	1.0	450.75693
3	2	1.0	536.1476
2	2	1.0	318.09015
2	0	0.0	272.49802
3	1	1.0	554.621
3	0	1.0	503.94617
2	0	0.0	301.27148
0	0	0.0	579.5773
3	0	1.0	497.17673
1	3	1.0	473.99225
1	2	1.0	479.2494
0	1	0.0	601.7558
2	1	1.0	312.71188
3	2	0.0	541.99335
3	2	1.0	480.97385
3	1	1.0	446.67743
3	2	1.0	527.6457
0	1	1.0	635.38104
3	2	1.0	480.74747
0	1	1.0	575.0113
3	2	1.0	427.3078
3	2	0.0	376.12317
2	1	0.0	255.2716
2	1	0.0	294.7852
0	0	0.0	604.3114
0	1	0.0	592.7879
2	0	1.0	271.8701
0	1	1.0	580.5889
1	1	1.0	471.8531
0	1	1.0	602.97736
0	1	0.0	572.82684
3	2	0.0	528.3251
0	0	0.0	619.93195
2	0	1.0	259.00415
0	0	0.0	621.83075
2	0	1.0	280.13403
2	0	1.0	252.71094
0	1	0.0	589.28754
0	1	0.0	569.4548
1	2	1.0	472.01492
0	0	0.0	623.87854
3	0	1.0	401.76437
3	1	1.0	493.8626
0	1	0.0	570.9577
1	2	1.0	490.381
0	0	0.0	550.7544
3	2	1.0	490.48105
3	3	1.0	597.478
3	0	1.0	563.3705
2	0	1.0	280.34454
0	0	1.0	576.7115
2	1	1.0	342.38794
0	1	1.0	538.56305
3	1	1.0	550.813
1	3	1.0	485.90894
2	1	0.0	324.12823
2	1	1.0	311.2985
0	0	0.0	541.18567
3	0	1.0	539.53357
1	3	1.0	473.46143
3	2	1.0	552.7747
0	2	0.0	591.7695
1	3	1.0	474.98315
3	1	1.0	506.02466
0	1	0.0	585.00354
1	3	1.0	415.02704
0	1	1.0	582.04834
2	1	1.0	272.62912
0	1	1.0	552.0372
1	3	1.0	473.06622
2	1	1.0	325.8218
0	0	0.0	576.20746
0	0	1.0	617.37366
2	1	0.0	363.70312
0	1	0.0	610.2471
0	1	1.0	586.3635
0	2	1.0	588.33746
0	0	0.0	570.21063
0	1	0.0	580.7783
1	1	1.0	491.67178
3	1	0.0	479.55792
1	3	1.0	424.27448
0	0	0.0	602.9224
2	1	1.0	312.99472
1	3	1.0	460.03146
0	3	0.0	601.6077
1	2	1.0	442.93033
0	0	0.0	573.2647
0	2	0.0	577.4616
0	0	1.0	597.34406
0	0	1.0	594.65497
1	3	1.0	439.84122
0	0	0.0	583.9685
2	2	1.0	275.2422
3	2	1.0	504.2212
1	3	1.0	453.11835
3	0	1.0	570.41455
3	2	1.0	431.7201
1	2	1.0	446.801
0	1	0.0	620.94867
2	0	1.0	304.81055
3	2	1.0	496.32614
0	3	1.0	559.1415
1	2	1.0	471.64972
0	2	1.0	586.1701
1	2	1.0	464.40604
2	0	0.0	299.52026
0	1	1.0	583.59406
1	3	1.0	440.33505
3	2	1.0	504.7099
2	1	1.0	264.01935
2	0	1.0	288.0238
0	1	1.0	586.0571
1	3	1.0	473.25732
1	2	1.0	472.53558
2	0	0.0	319.50275
2	2	1.0	292.32767
0	2	0.0	593.3982
1	3	1.0	462.83765
2	0	0.0	352.77774
3	1	1.0	553.0386
1	2	1.0	478.4026
2	1	1.0	310.9473
2	0	1.0	274.73294
0	1	0.0	582.55347
2	1	0.0	310.1032
0	0	0.0	593.9625
1	3	1.0	435.94217
0	1	1.0	545.80896
2	1	1.0	318.27847
3	2	1.0	505.19135
2	0	1.0	351.43103
1	3	1.0	451.77484
3	2	0.0	474.16687
0	0	1.0	583.0183
0	1	1.0	594.9045
1	3	1.0	432.12076
2	1	1.0	247.82266
2	2	0.0	273.35626
2	0	1.0	266.89453
3	2	1.0	415.73578
1	2	1.0	426.79886
1	2	0.0	468.0846
3	1	1.0	527.7913
2	0	0.0	312.27725
3	2	0.0	517.6388
1	2	1.0	442.30304
1	2	1.0	470.39493
3	2	1.0	469.76147
2	0	1.0	239.1035
2	0	1.0	284.1341
0	0	1.0	561.60284
2	3	1.0	284.9662
0	2	0.0	582.8427
3	0	1.0	478.56744
1	2	1.0	490.05508
2	0	1.0	364.8282
3	1	1.0	543.3539
3	2	0.0	482.5229
1	3	1.0	427.37875
3	2	0.0	551.42126
0	1	0.0	590.8723
0	0	0.0	590.41644
0	2	0.0	555.60815
0	2	0.0	605.7496
0	1	0.0	569.8978
2	1	1.0	247.59036
3	2	1.0	452.87665
1	3	1.0	443.64545
3	3	1.0	481.4555
0	0	0.0	545.3199
2	0	0.0	300.93152
1	2	1.0	456.26218
2	0	0.0	307.33685
0	2	0.0	589.8102
1	0	0.0	465.5803
0	0	0.0	558.3705
3	3	1.0	552.81744
2	2	1.0	340.25983
0	1	0.0	561.1468
2	0	1.0	311.81406
0	1	0.0	585.9667
3	2	1.0	383.10593
1	2	1.0	464.87625
3	0	1.0	515.3687
3	2	1.0	568.5547
1	2	1.0	464.90698
0	2	1.0	596.4696
2	2	0.0	288.98572
2	0	0.0	359.2488
3	0	1.0	500.5241
3	2	1.0	482.88477
3	1	1.0	483.76172
2	2	1.0	287.18158
3	3	1.0	476.43427
1	0	1.0	437.18195
1	2	1.0	437.9948
2	0	1.0	351.72766
1	2	1.0	441.20938
3	1	0.0	460.50653
2	1	1.0	321.66238
1	2	1.0	433.6399
0	0	1.0	584.69775
0	2	0.0	567.4968
1	3	1.0	438.0851
3	0	0.0	572.395
3	2	1.0	580.90656
1	2	1.0	466.6504
2	0	0.0	330.1923
3	2	1.0	515.19867
1	3	1.0	429.2615
2	1	0.0	345.5356
1	2	1.0	469.1477
0	0	1.0	599.0335
2	2	1.0	228.95383
3	3	1.0	568.6979
2	2	0.0	361.83167
1	2	1.0	434.72974
1	3	1.0	440.4876
3	0	1.0	491.90036
0	2	0.0	564.402
2	0	1.0	288.99982
2	0	0.0	322.10516
2	0	1.0	323.9611
3	2	1.0	460.122
2	1	1.0	376.25378
0	1	0.0	579.58417
1	3	1.0	449.03918
2	2	1.0	311.61633
3	1	0.0	459.64154
2	1	1.0	285.18884
1	3	1.0	437.03873
3	0	1.0	544.07745
1	0	1.0	472.83383
3	2	1.0	522.42957
2	1	0.0	308.19864
2	1	1.0	226.4721
1	3	1.0	450.88907
0	0	1.0	580.5179
1	3	1.0	434.3341
1	2	1.0	428.07623
2	0	1.0	296.17026
0	0	1.0	571.90594
2	1	1.0	271.7414
0	2	1.0	521.429
0	0	0.0	547.79126
0	1	0.0	615.2574
