personality,herbology,quidditch rank
3,1,472.4196
0,1,283.3763
0,1,453.9151
2,0,510.14218
0,1,331.7454
1,1,288.59723
1,0,556.77374
1,0,344.59198
0,1,446.07138
0,1,328.15594
2,1,310.77994
2,1,432.69797
1,0,603.01636
0,0,543.98785
2,1,492.56317
0,0,582.9803
1,1,596.7834
0,0,473.4861
2,0,427.55872
3,1,483.3609
2,0,585.9454
3,1,419.98834
1,1,459.58508
2,0,546.2829
0,1,454.202
1,1,566.3843
0,0,571.3029
0,1,543.66907
1,1,466.04422
1,0,583.88666
2,1,462.14792
2,1,542.50336
2,1,459.88647
1,0,602.26385
0,1,505.00613
2,0,583.5379
1,1,458.57626
2,0,424.16162
0,1,241.81903
0,1,454.27954
3,1,504.15503
3,0,468.59357
0,1,496.9671
1,1,294.67487
2,1,272.78018
0,1,577.77203
0,0,324.7522
1,1,304.80328
3,1,486.0589
2,1,573.8777
0,1,577.0179
2,1,493.71988
2,1,445.34296
1,1,294.61084
0,1,277.9139
3,1,469.12073
2,0,607.9607
2,1,445.26047
3,1,500.9629
2,1,472.48135
1,1,531.9393
2,1,564.8173
0,0,569.2759
1,1,581.9334
3,1,465.52536
1,0,600.1873
2,1,469.19684
0,0,271.35153
1,0,305.16797
1,1,505.7978
2,1,505.0282
0,1,458.05014
2,1,435.8778
3,1,528.53143
0,0,366.91147
2,1,526.3645
0,0,612.376
0,1,356.76456
2,1,484.74918
0,1,321.21912
1,0,568.53186
1,1,456.78653
1,0,554.51685
2,1,584.81396
1,0,303.75934
3,1,606.47784
1,1,316.074
3,1,463.88605
0,1,591.4406
0,0,571.26074
2,0,504.54337
0,1,499.27075
2,1,274.61774
2,0,270.63766
2,0,236.62071
0,1,512.8881
3,0,424.05716
1,0,262.5242
0,1,453.3143
0,0,579.75867
3,0,502.4931
3,1,468.48642
0,1,477.466
0,1,353.8139
0,1,545.81055
0,1,284.9856
1,0,581.9059
2,1,473.45493
2,0,562.28656
1,0,556.2882
1,1,298.48898
2,1,486.84442
3,1,471.79602
0,0,580.84875
3,1,517.21674
0,0,574.93494
1,0,516.1375
2,1,488.1288
1,1,279.38867
2,1,446.17142
3,1,313.32434
3,1,417.4967
2,1,429.02374
2,1,467.56873
1,0,529.47736
1,0,239.81792
2,1,415.4457
3,1,479.2989
1,1,324.43774
1,1,494.68405
0,0,638.0549
2,1,460.46292
0,1,230.89351
2,1,274.6768
3,0,584.17096
3,1,481.2064
2,1,577.2566
3,1,430.311
3,1,468.75647
1,1,599.4622
1,0,591.93085
2,1,500.37665
0,1,295.00632
3,1,474.1547
1,1,309.11227
0,0,332.36514
1,1,336.83737
0,0,385.09732
2,1,445.83768
1,0,551.35803
2,0,289.6413
1,1,272.0012
3,1,456.17838
0,1,551.14484
2,1,577.608
1,0,599.05273
2,1,460.11246
3,1,479.25772
1,1,287.49915
0,1,590.83057
3,1,472.83215
2,0,297.8137
3,0,544.4194
0,0,573.6034
0,0,292.84363
0,1,556.59314
1,1,495.0517
1,1,336.09055
1,1,538.4264
2,1,506.74677
1,1,551.45184
2,0,605.08435
1,1,580.5243
2,1,458.4223
2,0,577.1865
2,1,529.80194
1,1,585.8975
2,0,445.4447
1,1,281.82886
1,0,264.11813
0,1,558.89746
1,1,576.7977
3,0,446.91507
3,1,446.99936
2,1,474.7474
2,0,314.73343
2,1,463.77753
3,1,466.8523
0,1,520.70685
0,1,510.33923
3,1,490.94037
2,1,587.0672
3,1,493.5134
1,1,444.04016
1,1,544.963
3,1,456.4076
3,1,448.21506
2,1,474.4878
3,0,555.6637
0,0,580.24054
0,1,486.66882
1,1,536.1464
0,0,286.5084
2,1,440.76007
3,1,445.51303
2,0,500.52927
2,0,577.81995
2,1,540.49786
1,1,432.78656
1,1,346.9666
2,1,574.5596
2,1,560.5588
0,0,305.37396
3,1,461.43185
2,1,346.05215
0,1,555.4303
0,0,635.81134
3,1,482.17795
2,1,488.84045
1,1,526.85443
0,1,324.7987
3,1,494.5632
1,1,298.79742
0,1,294.14737
1,1,216.61832
1,1,472.86688
2,1,572.3999
0,0,277.46082
1,0,327.65216
1,1,554.5361
2,1,583.5447
1,1,487.58163
1,1,278.72427
2,1,568.6921
0,1,297.01694
3,1,417.9645
2,1,432.87268
2,1,525.2215
0,0,266.58575
3,1,481.7655
0,1,279.5235
0,1,573.13165
0,1,497.6086
0,0,591.5201
0,1,247.75569
3,1,456.7755
1,0,604.92053
3,1,457.1834
0,0,600.24585
3,1,446.0968
2,1,437.74493
1,1,590.8385
0,1,461.26956
3,1,476.82755
1,0,446.1248
3,1,446.61856
0,0,298.18155
0,1,465.73846
0,0,572.1038
1,1,312.39355
2,1,567.90967
0,1,267.48743
0,0,280.13953
2,1,428.55524
1,0,541.1373
2,1,458.34558
3,1,474.37747
0,1,291.6403
1,1,295.55664
1,0,557.4058
2,0,416.22867
0,1,544.3482
0,1,293.32422
0,1,293.23206
0,0,556.67993
0,1,501.7816
3,0,511.45947
2,1,455.27872
1,1,562.89185
0,0,269.54095
0,1,343.8918
1,0,293.2675
3,1,462.6868
2,1,296.41675
3,1,488.14618
0,1,578.3448
2,1,246.90797
0,1,593.92175
1,1,593.50604
1,0,485.68265
1,0,582.61505
2,1,568.6136
0,0,459.31848
1,0,576.4014
2,0,490.81412
1,1,471.65454
1,1,457.16782
2,1,295.22925
3,1,491.9623
2,0,281.80817
2,1,453.5202
0,0,318.0846
2,1,341.1552
0,1,513.56415
1,0,571.198
0,0,316.30966
1,1,461.05334
2,0,553.354
1,0,578.8228
0,0,567.7348
2,1,340.877
2,1,526.802
1,1,218.04724
3,1,467.06534
1,1,265.48328
3,1,472.06866
0,0,289.74756
1,1,323.45828
0,1,321.4967
0,1,338.07217
1,1,610.2414
0,0,324.76187
2,1,527.4227
1,0,499.59244
2,1,312.74228
2,1,440.18134
2,1,495.39185
2,1,420.79373
1,1,470.78787
0,1,636.27484
0,1,601.44366
0,1,275.48703
3,1,499.89615
3,1,460.29037
3,1,472.19318
2,1,442.1975
1,1,306.7207
3,1,486.94412
0,0,302.47406
2,1,288.24835
2,1,506.33093
2,1,511.5011
0,1,399.44116
0,1,549.9857
0,1,463.75186
1,1,327.784
2,1,458.43668
0,0,298.63156
1,1,286.7674
1,1,480.40033
0,1,323.34705
3,1,450.86908
3,1,483.3384
0,1,551.11835
2,1,524.84814
0,0,343.76123
0,1,609.19
3,1,497.70438
2,1,616.8438
1,0,585.53656
0,1,567.95465
3,1,430.07864
3,1,479.62994
0,0,234.69797
2,1,449.64313
2,1,451.86847
3,1,477.1631
1,0,563.9065
3,1,472.88773
0,1,275.15396
0,1,451.3299
1,1,303.4475
2,1,498.17587
0,0,280.4171
2,1,585.3745
1,1,345.95712
0,0,448.96823
1,1,562.10486
0,1,459.53036
0,1,509.82547
3,1,438.5752
1,0,298.6438
1,0,606.1333
0,0,582.5638
3,1,471.79807
0,0,575.1615
2,1,464.05637
1,1,316.16205
1,0,281.9909
3,1,441.87238
2,1,351.91824
2,0,554.3268
0,1,572.35315
0,0,572.50433
2,0,617.1991
2,1,460.69733
0,0,566.75085
3,0,442.93094
2,1,450.33688
3,0,309.43338
2,1,451.3767
1,0,489.15158
2,1,474.60062
2,1,264.11398
2,1,571.3767
0,0,320.03494
1,1,321.12463
2,1,467.6977
3,0,413.17886
2,0,248.06271
0,0,604.4006
2,0,258.83627
2,1,430.21872
1,1,237.2007
0,0,267.0758
0,1,431.04523
3,0,573.3561
1,0,288.56854
3,1,472.46487
3,1,450.05554
3,1,443.07605
1,1,468.80487
1,1,464.14908
3,1,278.46857
0,0,296.5178
0,1,301.35162
2,0,458.11707
2,0,502.05878
3,0,594.97186
3,1,463.483
3,1,438.13388
1,1,547.6865
0,1,574.2607
0,1,574.87616
3,1,459.41812
3,1,446.39136
1,1,430.83554
3,1,444.51443
0,0,598.51166
3,1,483.1452
0,1,333.13995
0,1,409.64145
0,1,565.3481
1,1,288.09277
0,0,261.41586
0,0,595.36993
1,0,277.96124
1,1,609.7073
0,1,532.6732
1,1,476.3488
2,0,260.9491
1,1,310.71466
2,0,592.5228
1,0,299.7242
1,1,601.22955
2,1,490.0422
0,0,551.7428
1,1,272.38116
2,1,557.1693
3,1,473.99225
1,1,444.07425
0,1,478.7831
0,0,538.80725
0,0,543.70264
0,1,489.76245
2,1,558.3499
2,1,478.1214
3,1,459.56146
2,1,289.06815
1,0,540.62006
2,1,465.9347
2,1,547.3879
1,1,462.22375
0,0,478.69333
3,0,606.54095
2,1,444.67938
0,0,615.931
1,0,296.1474
3,1,484.72598
3,0,474.7612
1,0,550.1129
3,1,368.61923
1,1,226.988
3,0,477.8457
0,1,243.45944
0,0,575.051
3,1,494.3287
3,1,428.05704
1,0,545.1695
1,1,406.88068
2,1,308.66507
0,1,591.1641
0,1,555.19336
3,1,462.7331
1,1,312.13217
1,1,489.3499
1,1,597.4431
0,1,346.8451
2,1,496.71472
1,1,322.26407
2,0,262.8631
3,0,474.7352
2,1,656.45306
1,0,528.1184
1,1,586.3756
2,1,481.52737
2,1,499.10553
1,1,519.7493
2,1,309.51456
2,1,471.33688
1,1,480.5706
1,1,549.0663
3,1,473.99423
3,0,463.44107
0,1,253.28333
1,0,588.8247
3,1,570.4908
1,0,569.26495
2,0,299.67947
2,0,578.46204
0,1,468.7212
1,1,496.8589
1,0,439.61975
1,1,306.98126
3,1,486.7171
1,0,597.565
1,0,466.45905
3,1,450.2711
3,1,488.85486
1,1,399.92917
2,1,515.00055
1,1,264.9161
1,0,567.2989
0,1,605.724
1,1,264.35553
0,1,552.21954
1,0,483.10782
1,1,476.5088
3,1,426.69754
2,1,355.90683
2,0,597.9447
3,1,551.8136
2,1,440.30237
0,1,483.2967
3,1,465.4291
1,1,553.304
0,0,598.05817
2,1,448.87177
1,1,343.44138
2,1,616.1841
1,1,273.99442
1,1,578.1033
2,0,474.24164
0,0,561.9457
0,0,306.1016
1,0,536.3944
2,1,448.31744
3,1,454.43796
1,0,287.56113
0,0,623.1322
2,0,485.9007
1,0,282.36127
1,1,546.5243
3,1,449.31836
0,1,311.92926
2,1,517.0206
1,0,585.22314
0,0,345.7241
2,1,453.82227
1,1,249.23576
2,0,490.3673
3,1,446.61847
1,1,247.96832
1,0,285.226
2,1,538.1235
2,1,487.99768
0,1,328.43344
3,1,436.19373
1,1,586.6761
2,0,488.0837
2,1,443.8108
0,1,483.33078
1,1,278.27142
0,1,301.95776
1,0,410.63416
1,1,596.67285
1,1,477.60117
1,0,574.69305
3,1,431.88525
0,1,352.1297
2,1,472.0378
0,1,531.6556
3,1,484.56946
1,0,281.92703
3,1,432.24356
1,1,303.98035
0,1,464.5765
3,1,434.70615
0,1,283.09656
0,0,339.3077
0,1,555.25323
1,1,462.7058
2,1,533.68774
0,1,441.2027
0,0,468.57712
2,0,439.37268
1,0,548.0507
1,1,585.3955
2,1,460.9019
0,0,329.45926
0,0,569.5706
3,1,503.22217
2,0,500.1263
0,0,604.28467
2,1,495.83878
2,0,553.7212
1,1,608.5359
0,1,569.55566
1,1,430.42514
2,0,498.23288
0,0,601.32416
3,1,516.035
3,1,486.48853
2,0,592.79407
0,0,559.509
2,1,468.17947
1,0,587.78143
1,0,595.82227
0,0,592.8883
1,0,303.0261
1,0,325.69016
1,1,564.01874
2,0,480.4091
3,1,490.67273
1,1,545.4027
2,1,450.75693
2,1,536.1476
2,1,318.09015
0,0,272.49802
1,1,554.621
0,1,503.94617
0,0,301.27148
0,0,579.5773
0,1,497.17673
3,1,473.99225
2,1,479.2494
1,0,601.7558
1,1,312.71188
2,0,541.99335
2,1,480.97385
1,1,446.67743
2,1,527.6457
1,1,635.38104
2,1,480.74747
1,1,575.0113
2,1,427.3078
2,0,376.12317
1,0,255.2716
1,0,294.7852
0,0,604.3114
1,0,592.7879
0,1,271.8701
1,1,580.5889
1,1,471.8531
1,1,602.97736
1,0,572.82684
2,0,528.3251
0,0,619.93195
0,1,259.00415
0,0,621.83075
0,1,280.13403
0,1,252.71094
1,0,589.28754
1,0,569.4548
2,1,472.01492
0,0,623.87854
0,1,401.76437
1,1,493.8626
1,0,570.9577
2,1,490.381
0,0,550.7544
2,1,490.48105
3,1,597.478
0,1,563.3705
0,1,280.34454
0,1,576.7115
1,1,342.38794
1,1,538.56305
1,1,550.813
3,1,485.90894
1,0,324.12823
1,1,311.2985
0,0,541.18567
0,1,539.53357
3,1,473.46143
2,1,552.7747
2,0,591.7695
3,1,474.98315
1,1,506.02466
1,0,585.00354
3,1,415.02704
1,1,582.04834
1,1,272.62912
1,1,552.0372
3,1,473.06622
1,1,325.8218
0,0,576.20746
0,1,617.37366
1,0,363.70312
1,0,610.2471
1,1,586.3635
2,1,588.33746
0,0,570.21063
1,0,580.7783
1,1,491.67178
1,0,479.55792
3,1,424.27448
0,0,602.9224
1,1,312.99472
3,1,460.03146
3,0,601.6077
2,1,442.93033
0,0,573.2647
2,0,577.4616
0,1,597.34406
0,1,594.65497
3,1,439.84122
0,0,583.9685
2,1,275.2422
2,1,504.2212
3,1,453.11835
0,1,570.41455
2,1,431.7201
2,1,446.801
1,0,620.94867
0,1,304.81055
2,1,496.32614
3,1,559.1415
2,1,471.64972
2,1,586.1701
2,1,464.40604
0,0,299.52026
1,1,583.59406
3,1,440.33505
2,1,504.7099
1,1,264.01935
0,1,288.0238
1,1,586.0571
3,1,473.25732
2,1,472.53558
0,0,319.50275
2,1,292.32767
2,0,593.3982
3,1,462.83765
0,0,352.77774
1,1,553.0386
2,1,478.4026
1,1,310.9473
0,1,274.73294
1,0,582.55347
1,0,310.1032
0,0,593.9625
3,1,435.94217
1,1,545.80896
1,1,318.27847
2,1,505.19135
0,1,351.43103
3,1,451.77484
2,0,474.16687
0,1,583.0183
1,1,594.9045
3,1,432.12076
1,1,247.82266
2,0,273.35626
0,1,266.89453
2,1,415.73578
2,1,426.79886
2,0,468.0846
1,1,527.7913
0,0,312.27725
2,0,517.6388
2,1,442.30304
2,1,470.39493
2,1,469.76147
0,1,239.1035
0,1,284.1341
0,1,561.60284
3,1,284.9662
2,0,582.8427
0,1,478.56744
2,1,490.05508
0,1,364.8282
1,1,543.3539
2,0,482.5229
3,1,427.37875
2,0,551.42126
1,0,590.8723
0,0,590.41644
2,0,555.60815
2,0,605.7496
1,0,569.8978
1,1,247.59036
2,1,452.87665
3,1,443.64545
3,1,481.4555
0,0,545.3199
0,0,300.93152
2,1,456.26218
0,0,307.33685
2,0,589.8102
0,0,465.5803
0,0,558.3705
3,1,552.81744
2,1,340.25983
1,0,561.1468
0,1,311.81406
1,0,585.9667
2,1,383.10593
2,1,464.87625
0,1,515.3687
2,1,568.5547
2,1,464.90698
2,1,596.4696
2,0,288.98572
0,0,359.2488
0,1,500.5241
2,1,482.88477
1,1,483.76172
2,1,287.18158
3,1,476.43427
0,1,437.18195
2,1,437.9948
0,1,351.72766
2,1,441.20938
1,0,460.50653
1,1,321.66238
2,1,433.6399
0,1,584.69775
2,0,567.4968
3,1,438.0851
0,0,572.395
2,1,580.90656
2,1,466.6504
0,0,330.1923
2,1,515.19867
3,1,429.2615
1,0,345.5356
2,1,469.1477
0,1,599.0335
2,1,228.95383
3,1,568.6979
2,0,361.83167
2,1,434.72974
3,1,440.4876
0,1,491.90036
2,0,564.402
0,1,288.99982
0,0,322.10516
0,1,323.9611
2,1,460.122
1,1,376.25378
1,0,579.58417
3,1,449.03918
2,1,311.61633
1,0,459.64154
1,1,285.18884
3,1,437.03873
0,1,544.07745
0,1,472.83383
2,1,522.42957
1,0,308.19864
1,1,226.4721
3,1,450.88907
0,1,580.5179
3,1,434.3341
2,1,428.07623
0,1,296.17026
0,1,571.90594
1,1,271.7414
2,1,521.429
0,0,547.79126
1,0,615.2574
0,1,460.9334
2,1,278.9598
3,1,480.66238
2,1,496.38004
1,0,619.6302
2,0,348.1898
1,1,601.8432
1,1,345.26276
2,1,548.1997
3,1,530.377
3,1,465.8298
3,1,441.83554
3,1,460.16403
2,1,463.53415
2,1,454.14554
0,1,578.9063
1,1,324.37866
2,0,421.4672
3,1,436.23227
2,1,487.15485
1,1,224.11139
1,1,273.71518
2,1,474.49176
2,0,573.0575
0,0,616.939
1,1,272.50015
0,0,564.0604
1,0,302.58127
3,0,488.45926
0,1,449.93073
2,0,464.6377
0,1,318.49564
2,0,289.0664
3,1,479.4406
2,1,350.6253
2,0,251.82901
1,0,543.3012
2,0,470.66748
1,0,568.9397
2,0,567.97125
0,1,596.0887
2,1,543.0019
3,1,594.3789
0,1,217.49411
1,0,305.35312
1,1,569.9188
2,1,464.17358
1,1,579.1723
1,1,499.93015
1,0,576.6734
2,0,304.72562
0,0,577.4119
3,1,452.70932
1,1,598.8123
0,1,473.38333
2,1,582.2667
1,1,258.7856
2,1,478.13345
2,0,576.7216
0,1,563.30524
1,1,586.0331
0,0,615.15045
0,0,281.25958
1,1,310.9306
3,1,461.22495
2,0,618.04047
3,1,454.79532
2,1,469.0712
1,1,544.14594
1,1,228.86017
1,1,518.8876
0,1,296.017
1,1,367.51996
3,1,456.02554
0,1,455.8892
0,0,578.3019
2,1,448.02414
0,1,471.95682
1,0,557.08887
3,1,464.8105
2,1,458.45724
2,1,514.34393
3,1,464.70297
0,0,583.73474
3,1,500.18866
2,1,425.38004
3,1,460.70953
0,0,634.6616
1,0,611.71027
0,0,328.04865
3,1,473.48914
3,0,296.092
1,1,621.2265
0,0,288.73706
2,1,469.86047
2,1,513.3953
0,0,313.73874
2,1,533.06396
0,1,574.3339
3,1,466.94095
0,1,591.3473
0,0,318.74136
1,1,306.39694
3,0,539.7782
0,0,595.59625
0,0,568.1672
3,1,463.46613
2,1,268.2293
0,1,334.56863
1,0,265.70953
1,1,584.3192
3,1,422.3456
3,1,458.38858
3,1,434.23874
0,0,301.64517
2,1,444.0615
1,1,476.75476
1,1,567.2355
2,1,517.61566
1,1,300.00824
1,1,569.2275
1,1,452.22974
0,0,288.00583
2,1,532.1367
1,0,367.4625
1,0,597.7772
2,0,500.86136
2,1,441.6565
0,0,599.3462
1,1,567.4592
1,1,281.48578
0,1,502.78372
0,0,300.2152
0,0,455.92334
1,0,618.0831
2,0,480.72058
2,1,460.88437
0,1,434.73773
0,0,551.70184
0,1,388.26074
0,0,487.21832
1,1,318.13675
2,1,354.4809
1,0,545.3731
0,0,306.53265
0,1,486.70163
0,1,457.68533
1,1,354.93414
1,1,513.1607
2,1,472.07706
1,0,570.83734
1,0,556.582
0,1,513.0034
2,0,280.22244
2,1,447.58752
0,0,297.75
2,1,452.4893
0,1,257.07034
1,1,565.0138
2,1,411.67117
1,1,232.44458
1,1,283.44498
2,1,476.59457
1,0,375.9289
1,1,457.76495
0,1,338.13293
1,0,273.41675
0,1,323.35306
3,0,475.10812
2,1,497.02606
1,1,347.31155
2,0,572.233
1,0,531.33
2,0,300.1766
2,1,599.2782
3,1,486.3886
2,0,473.9522
3,1,466.2862
0,1,326.46066
1,0,582.17804
1,0,303.73346
1,0,473.4828
2,1,313.66885
0,0,593.692
1,1,526.79114
1,1,476.01486
0,1,499.97925
2,1,533.8544
0,1,240.86401
0,1,295.61957
2,1,507.04443
0,1,610.5921
2,1,440.69904
0,1,278.62128
1,0,609.03687
1,0,549.5342
0,1,459.68942
1,1,583.4223
3,1,495.072
2,0,603.8258
1,1,322.3901
0,1,557.71606
1,1,627.2667
0,0,458.34024
1,1,249.28972
0,1,240.74977
0,1,292.14627
3,1,449.59085
0,0,601.5756
1,1,603.3866
1,1,574.8073
1,0,320.48376
3,1,455.09534
1,0,611.86194
0,0,550.6302
3,1,613.0622
2,1,419.7101
0,1,341.79105
2,1,477.48154
1,0,477.58765
0,1,581.31415
3,1,501.25244
3,1,442.35425
2,1,496.2625
1,1,280.29492
1,0,303.46002
0,0,582.1448
3,1,327.6461
1,0,278.44556
0,1,567.8874
3,1,472.42258
1,0,585.2474
0,0,587.28864
1,1,428.1899
0,0,555.1387
2,1,389.79773
1,1,466.8342
3,1,461.65454
0,1,315.07242
1,1,312.6518
2,1,268.17145
1,1,329.89453
0,0,601.1531
2,0,576.84
1,0,601.2819
2,0,551.15735
1,1,312.26608
3,0,463.9307
2,1,575.83813
0,0,310.69308
3,1,451.25098
3,1,432.76364
3,1,433.31802
1,1,258.0679
0,1,545.7038
2,1,570.2396
0,1,639.2026
2,0,331.56244
0,0,594.55585
2,1,426.1188
2,1,557.7058
3,1,454.19638
0,0,261.1848
0,1,343.3184
0,1,583.27484
1,0,607.6665
3,0,550.1361
2,1,476.03992
2,1,547.67316
1,1,582.31195
2,1,593.07947
3,1,434.70706
0,1,303.20337
0,1,440.7154
0,0,571.5523
2,1,478.30502
1,1,451.6817
2,1,480.5779
2,0,566.5784
0,1,586.20105
3,0,498.95514
3,1,451.25793
3,1,442.19302
2,1,457.9416
1,0,610.4643
1,1,591.42944
2,1,513.6358
2,1,510.0954
2,1,536.57996
2,1,309.79776
2,1,487.61316
1,1,301.88885
2,1,278.84256
2,1,437.92108
2,0,524.2922
2,1,466.44724
0,0,574.1511
1,0,447.98514
2,1,579.94104
2,1,264.25323
2,0,581.6717
3,1,438.84506
2,1,502.75763
3,1,464.19492
2,1,552.28326
0,1,294.6062
0,1,466.8435
0,1,413.7516
0,1,559.5194
1,0,552.6962
1,1,470.39502
1,1,575.4277
1,0,557.1889
3,0,464.1306
3,1,456.43967
1,1,474.41943
1,0,565.04803
2,1,549.3983
2,0,592.146
1,1,260.3425
1,0,557.3363
3,0,579.1047
0,1,430.26727
1,0,526.0345
1,1,339.3729
1,1,575.4701
2,1,359.52783
2,0,436.5681
0,0,577.1212
2,1,495.30963
0,0,293.85394
2,0,487.85422
0,0,566.2661
1,0,472.19156
0,1,277.77362
3,1,466.7179
0,1,569.27264
1,0,301.60596
1,1,622.44525
2,0,477.38538
0,0,462.74475
1,1,263.3419
2,1,544.38617
2,0,479.62488
0,1,287.8993
0,1,496.92957
0,1,438.34232
2,1,426.4156
3,0,498.64313
1,0,580.314
2,0,503.24945
1,1,280.1256
3,1,279.76398
3,1,453.93805
3,1,435.70532
1,1,541.3248
2,1,494.09766
3,1,461.04572
2,1,285.16147
1,0,601.1006
0,0,586.5698
3,1,475.92114
2,1,185.30835
2,1,511.84793
0,0,339.42328
0,0,616.64813
1,1,270.80136
3,1,448.76135
1,1,432.47382
3,1,449.3358
1,0,641.0014
1,0,595.44666
0,0,613.33795
3,1,423.6656
0,0,629.61523
0,0,370.5114
0,1,513.4024
2,0,532.0469
3,1,436.8587
0,0,488.1572
0,0,398.82666
3,1,453.5722
0,1,556.6168
0,0,595.29095
1,1,346.32233
2,1,447.40387
0,0,554.33954
1,0,589.43207
2,1,456.0725
0,1,570.18463
3,1,463.18405
2,1,431.3662
3,1,425.37073
3,1,454.80402
3,1,480.44696
2,0,583.46436
3,1,475.3535
2,1,434.25784
1,0,617.6335
0,0,590.8963
0,1,407.26147
1,0,566.38586
2,0,621.98267
1,1,291.406
1,0,504.3577
0,0,483.834
1,1,526.0396
2,1,456.7207
0,0,293.64835
0,1,334.8618
1,0,309.57825
1,1,531.68146
1,1,248.2988
2,0,293.04678
0,1,478.60712
2,0,582.2368
2,0,539.2099
0,1,263.04428
3,1,466.74545
2,0,321.50656
0,1,474.6114
1,1,515.6198
2,1,419.977
2,1,561.1307
1,1,604.41797
3,1,498.8023
0,1,237.7264
3,1,452.22455
2,1,455.2598
2,1,478.8548
2,1,464.58868
2,1,442.16525
0,1,365.2304
1,1,585.08844
3,1,505.82794
2,1,439.9231
3,1,431.6125
0,1,519.2674
3,1,626.2301
1,1,582.43823
1,1,334.0988
1,0,240.58743
2,0,323.51776
3,1,472.37018
2,1,475.4703
1,0,270.41895
2,1,505.1496
0,1,575.35706
1,0,555.07544
2,1,508.56436
2,0,475.11484
3,1,456.65488
2,1,270.62277
0,0,588.32263
3,1,500.25052
2,1,460.6726
2,0,566.08234
2,1,433.7259
1,1,358.88504
1,1,246.93344
3,1,462.33856
1,0,579.9219
0,1,500.434
2,1,487.65933
3,0,474.6957
3,1,282.65457
3,1,436.1059
1,0,563.3477
0,0,520.41376
0,1,298.08383
0,1,329.99063
1,0,589.2291
2,1,441.31757
3,1,478.28412
1,1,340.54517
1,1,462.64276
3,1,455.5727
0,1,588.94965
0,1,298.34406
2,1,476.68362
2,1,439.5865
0,1,269.11783
